"","AMI","NMI","FMI"
"Kmed_recoded_iris_2.txt",0.000182682448852505,0.000182682448852505,0.42172833770475
"MSS_recoded_iris_2.txt",0.000182682448852505,0.000182682448852505,0.42172833770475
"Kmed_sq_recoded_iris_2.txt",0.000182682448852505,0.000182682448852505,0.42172833770475
"MSS_sq_recoded_iris_2.txt",0.000182682448852505,0.000182682448852505,0.42172833770475
"Kmed_recoded_iris_3.txt",0.00248878587325449,0.00248878587325449,0.323318219066287
"MSS_recoded_iris_3.txt",0.00829485384595782,0.00829485384595782,0.326081092565294
"Kmed_sq_recoded_iris_3.txt",0.00642689800732187,0.00642689800732187,0.324581692569362
"MSS_sq_recoded_iris_3.txt",0.00588914452272443,0.00588914452272443,0.324500854175813
"Kmed_recoded_iris_4.txt",0.0132598877528995,0.0132598877528995,0.293269946977909
"MSS_recoded_iris_4.txt",0.00717009627468433,0.00717009627468433,0.296267637457552
"Kmed_sq_recoded_iris_4.txt",0.0107365823276674,0.0107365823276674,0.293513588061351
"MSS_sq_recoded_iris_4.txt",0.00516558017033337,0.00516558017033337,0.294075270207805
"Kmed_recoded_iris_5.txt",0.0132598877528995,0.0132598877528995,0.293269946977909
"MSS_recoded_iris_5.txt",0.00717009627468433,0.00717009627468433,0.296267637457552
"Kmed_sq_recoded_iris_5.txt",0.0107365823276674,0.0107365823276674,0.293513588061351
"MSS_sq_recoded_iris_5.txt",0.00516558017033337,0.00516558017033337,0.294075270207805
"Kmed_recoded_iris_6.txt",0.0147909212060546,0.0147909212060546,0.252414679263099
"MSS_recoded_iris_6.txt",0.0119152090621604,0.0119152090621604,0.249095400823518
"Kmed_sq_recoded_iris_6.txt",0.00653877117446271,0.00653877117446271,0.247252808505747
"MSS_sq_recoded_iris_6.txt",0.0141014776686598,0.0141014776686598,0.238438806932834
"exact_clustering_class",1,1,1
"exact_clustering_2",0.522322464101015,0.522322464101015,0.750473256488024
"exact_clustering_3",0.751485402198834,0.751485402198834,0.820808072911415
"exact_clustering_4",0.652211335551431,0.652211335551431,0.75659263532527
"exact_clustering_5",0.59928706467119,0.59928706467119,0.725483077626584
