"","AMI","ARI","NMI","FMI"
"Kmed_recoded_iris_2.txt",0.579380164285695,0.568115942028986,0.579380164285695,0.771454276289177
"MSS_recoded_iris_2.txt",0.579380164285695,0.568115942028986,0.579380164285695,0.771454276289177
"Kmed_sq_recoded_iris_2.txt",0.579380164285695,0.568115942028986,0.579380164285695,0.771454276289177
"MSS_sq_recoded_iris_2.txt",0.579380164285695,0.568115942028986,0.579380164285695,0.771454276289177
"Kmed_recoded_iris_3.txt",0.698876126713851,0.676454462051257,0.698876126713851,0.783383256079371
"MSS_recoded_iris_3.txt",0.652399763989741,0.610072850528561,0.652399763989741,0.738373783415158
"Kmed_sq_recoded_iris_3.txt",0.658800809139365,0.61992433178106,0.658800809139365,0.744932669115603
"MSS_sq_recoded_iris_3.txt",0.659126501804901,0.620135180887038,0.659126501804901,0.745210504313299
"Kmed_recoded_iris_4.txt",0.56385438218719,0.586900054359597,0.56385438218719,0.712009487055402
"MSS_recoded_iris_4.txt",0.540229494007022,0.462252837502202,0.540229494007022,0.625619487951108
"Kmed_sq_recoded_iris_4.txt",0.565143091155253,0.587373275974226,0.565143091155253,0.71277553104909
"MSS_sq_recoded_iris_4.txt",0.545085386429689,0.470567835539182,0.545085386429689,0.631396903681464
"Kmed_recoded_iris_5.txt",0.56385438218719,0.586900054359597,0.56385438218719,0.712009487055402
"MSS_recoded_iris_5.txt",0.540229494007022,0.462252837502202,0.540229494007022,0.625619487951108
"Kmed_sq_recoded_iris_5.txt",0.565143091155253,0.587373275974226,0.565143091155253,0.71277553104909
"MSS_sq_recoded_iris_5.txt",0.545085386429689,0.470567835539182,0.545085386429689,0.631396903681464
"Kmed_recoded_iris_6.txt",0.464148728395036,0.396010850195535,0.464148728395036,0.562341563927916
"MSS_recoded_iris_6.txt",0.466552134933094,0.391744235566101,0.466552134933094,0.558954444358621
"Kmed_sq_recoded_iris_6.txt",0.48256106649786,0.438609806978234,0.48256106649786,0.59600570459411
"MSS_sq_recoded_iris_6.txt",0.438137455307738,0.350087082504894,0.438137455307738,0.523898931381926
"exact_clustering_class",1,1,1,1
"exact_clustering_2",0.522322464101015,0.539921829420712,0.522322464101015,0.750473256488024
"exact_clustering_3",0.751485402198834,0.73023827228347,0.751485402198834,0.820808072911415
"exact_clustering_4",0.652211335551431,0.649817685381997,0.652211335551431,0.75659263532527
"exact_clustering_5",0.59928706467119,0.607896465236422,0.59928706467119,0.725483077626584
